21,Lyngbysild,10221
9,PB Knäckebröd AB,11724
13,Nord-Ost-Fisch Handelsgesellschaft mbH,13424
6,Mayumi's,14737
17,Svensk Sjöföda AB,20144
25,Ma Maison,22155
16,Bigfoot Breweries,22391
5,Cooperativa de Quesos 'Las Cabras',25159
19,New England Seafood Cannery,26591
23,Karkki Oy,28443
4,Tokyo Traders,30526
2,New Orleans Cajun Delights,31168
1,Exotic Liquids,32188
11,Heli Süßwaren GmbH & Co. KG,38653
3,Grandma Kelly's Homestead,41953
20,Leka Trading,42018
15,Norske Meierier,43142
8,Specialty Biscuits  Ltd.,46244
14,Formaggi Fortini s.r.l.,48225
26,Pasta Buttini s.r.l.,50255
29,Forêts d'érables,61588
24,G'day  Mate,65627
7,Pavlova  Ltd.,106460
28,Gai pâturage,117981
12,Plutzer Lebensmittelgroßmärkte AG,145372
18,Aux joyeux ecclésiastiques,153691
